id ,Nom ,Pays,date_embauche ,salaire (€) ,distance/vitesse ,Commentaire,email ,has_id __email,has_id __url,has_id __ip_address,has_id __uuid,has_id __iban,has_id __credit_card,has_id __phone_fr,has_id __phone_us,has_Nom __email,has_Nom __url,has_Nom __ip_address,has_Nom __uuid,has_Nom __iban,has_Nom __credit_card,has_Nom __phone_fr,has_Nom __phone_us,has_Pays__email,has_Pays__url,has_Pays__ip_address,has_Pays__uuid,has_Pays__iban,has_Pays__credit_card,has_Pays__phone_fr,has_Pays__phone_us,has_date_embauche __email,has_date_embauche __url,has_date_embauche __ip_address,has_date_embauche __uuid,has_date_embauche __iban,has_date_embauche __credit_card,has_date_embauche __phone_fr,has_date_embauche __phone_us,has_salaire (€) __email,has_salaire (€) __url,has_salaire (€) __ip_address,has_salaire (€) __uuid,has_salaire (€) __iban,has_salaire (€) __credit_card,has_salaire (€) __phone_fr,has_salaire (€) __phone_us,has_distance/vitesse __email,has_distance/vitesse __url,has_distance/vitesse __ip_address,has_distance/vitesse __uuid,has_distance/vitesse __iban,has_distance/vitesse __credit_card,has_distance/vitesse __phone_fr,has_distance/vitesse __phone_us,has_Commentaire__email,has_Commentaire__url,has_Commentaire__ip_address,has_Commentaire__uuid,has_Commentaire__iban,has_Commentaire__credit_card,has_Commentaire__phone_fr,has_Commentaire__phone_us,has_email __email,has_email __url,has_email __ip_address,has_email __uuid,has_email __iban,has_email __credit_card,has_email __phone_fr,has_email __phone_us,comment_has_html
1 ,jean  pierre ,USA,24 Jun 2024 ,0.001e6,1 km,,test@example.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2 ,BOB,fr ,01/26/2024,901.18,380m,,test@example.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3 ,Zoë,uk,30 Jul 2024 ,"1,001.74",4.1 mi,Très  satisfait!!! ,test@example.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4 ,Mickaël,,2024-07-04,"784,76  ",14 km/h,Très  satisfait!!! ,bad@@mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 ,BOB,,11-12-2024,1185.593,prix 34€,Très  satisfait!!! ,test@example.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6 ,d’Artagnan,FR,2024-08-06,21368.922,13 km,"  bon	produit
mais livraison lente ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 ,Alice  ,uk,16 Jun 2024 ,0.081e4,556m,Très  satisfait!!! ,bad@@mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 ,ÉLODIE,,01/01/2024,"1 091,05",1.3 mi,<b>Très</b> satisfait!!!,test@example.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9 ,O'CONNOR,DE,07-11-2024,"887,97  ",12 km/h,"  bon	produit
mais livraison lente ",bad@@mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 ,BOB,uk,01/07/2024,"892,49  ",prix 52€,,test@example.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
