 id ;Nom ;Pays;date_embauche ;salaire (€) ;distance/vitesse ;Commentaire;email ;Commentaire_translated_en
 1 ; jean  pierre ;USA;  24 Jun 2024 ;0.001e6;1 km;;test@example.com;
 2 ;BOB;fr ;01/26/2024;901.18;380m;;test@example.com;
 3 ;Zoë; uk;  30 Jul 2024 ;1,001.74;4.1 mi;  Très  satisfait!!! ;test@example.com;Very satisfied!!!
 4 ;Mickaël;  ;2024-07-04;  784,76  ;14 km/h;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 5 ;BOB;  ;11-12-2024;1185.593;prix 34€;  Très  satisfait!!! ;test@example.com;Very satisfied!!!
 6 ;d’Artagnan; FR;2024-08-06;21368.922;13 km;"  bon	produit
mais livraison lente ";;"good product
but slow delivery"
 7 ;  Alice  ; uk;  16 Jun 2024 ;0.081e4;556m;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 8 ;ÉLODIE;  ;01/01/2024;1 091,05;1.3 mi;<b>Très</b> satisfait!!!;test@example.com;<b>Very</b> satisfied!!!
 9 ;O'CONNOR;DE;07-11-2024;  887,97  ;12 km/h;"  bon	produit
mais livraison lente ";bad@@mail;"good product
but slow delivery"
 10 ;BOB; uk;01/07/2024;  892,49  ;prix 52€;;test@example.com;
 11 ;Zoë;fr ;2024-02-14;1,080.69;10 km;"  bon	produit
mais livraison lente ";test@example.com;"good product
but slow delivery"
 12 ;O'CONNOR; uk;2024-06-01;  893,41  ;319m;;;
 13 ; jean  pierre ;;2024-09-08;-8 471,87;3.7 mi;"  bon	produit
mais livraison lente ";;"good product
but slow delivery"
 14 ; jean  pierre ;DE;2024-10-17;940;53 km/h;<b>Très</b> satisfait!!!;bad@@mail;<b>Very</b> satisfied!!!
 15 ;李雷; uk;  20 Jul 2024 ;1.046e3;prix 57€;  Très  satisfait!!! ; jean.pierre@exemple.fr ;Very satisfied!!!
 16 ;Zoë;;05/17/2024;904.739;11 km;;;
 17 ;ÉLODIE;fr ;2024-07-14;7.189e2;336m;  Très  satisfait!!! ;;Very satisfied!!!
 18 ;Chloé;es;2024-12-05;807.882;3.0 mi;<b>Très</b> satisfait!!!;;<b>Very</b> satisfied!!!
 19 ;Mickaël; FR;2024-09-14;  997,87  ;49 km/h;J’aime bien — mais…  ;test@example.com;I like it — but...
